project,location,status,cost,notes
4th bridge over the Panama Canal,Panama,Under Construction,"$1,400,000,000",
53W53,"Manhattan, New York City, New York",Completed,"$1,200,000,000",Formerly the Tower Verre is a Supertall Skyscraper with a Museum and Residential Condominiums. Completed in 2019[161]
Abdali Project[145][146],"Amman, Jordan",Under Construction,"$5,000,000,000","Project is being developed on 384,000 square metres (0.148 sq mi) of land, intending to create a total built-up area of over 1,700,000 square metres (0.66 sq mi) consisting of hotels, apartments, offices, commercial outlets and entertainment.[145][146]"
Abuja,FCT,Completed,"The planned capital city of Nigeria, which was built mainly in the 1980s. It officially became Nigeria's capital on 12 December 1991, replacing Lagos, and has since witnessed a huge influx of people into the city. As at 2006, the city of Abuja had a population of 776,298, making it one of the ten most populous cities in Nigeria, with an estimated metropolitan population of well over three million. Abuja is currently amongst the four largest urban areas in Nigeria.[124]",
Abuja Light Rail,"Abuja, FCT",Under Construction,"$2,650,000,000","The Abuja Light Rail project is a light rail transport system that is underway in Abuja in Federal Capital Territory. The first phase of the project connects the city centre to Nnamdi Azikiwe International Airport, stopping at the Lagos–Kano Standard Gauge Railway station in Idu. The first 12 stations opened in July 2018.[51] The first phase of the project cost $824 million,[52] while the second phase will be costing $1.79 billion.[53]"
Al Maktoum International Airport,Dubai,Under Construction,"$82,000,000,000",Upon completion it will be the fourth largest airport in the world.[90]
Alaskan Way Viaduct replacement tunnel,"Seattle, Washington",Completed,"$3,100,000,000","South-End Viaduct replacement started in 2008 and was completed in 2014. The SR 99 Tunnel started work in 2011, and is set for completion in 2021. Mitigation Projects started work in 2008, and are set for completion in 2019. Other miscellaneous projects started in 2007 and are set for completion in 2023."
Allegiant Stadium,"Paradise, Nevada",Nearly complete,"$1,900,000,000","This domed stadium, set to open for the 2020 season, will be home to the Las Vegas Raiders as well as a local college team, the UNLV Rebels.[45]"
Amaravati Smart City,"Amaravati,Andhra Pradesh",Under construction,"$4,000,000,000+",It is a planned city in the state of Andhra Pradesh and will serve as the capital for the state after completion. It is being built on a 217 km2 riverfront designed to have 51% of green spaces and 10% of water bodies.
Amritsar-Kolkata Industrial Corridor,"Area from Amritsar to Kolkata, India",Proposed,,
Ancol Dreamland,Jakarta,Completed,"Ancol Dreamland is currently the largest integrated tourism area in South East Asia with an area of about 600 hectares, boasting an international championship golf course, a theme park, an oceanarium, a convention centre, beaches, hotels and other recreational facilities.",
Apple Park,"Cupertino, California",Completed,"$3,000,000,000+","The ""spaceship"", as it is nicknamed, is Apple's new flagship headquarters (formally named Apple Campus 2). Taking the shape of a giant ring, it is expected to house over 14,000 employees. It was completed and opened in April 2017."
Asokoro Island[125],"Abuja, FCT",Under Construction,"$1,000,000,000","A peninsula development located in Asokoro district, in Abuja. The mixed-use development is approximately 60 hectares of land, located at the shores of Pendam Lake.  Its residential development ranges from apartment buildings to villas. They are majorly luxury properties with private balconies, mezzanines, floor-to-ceiling windows, swimming pool and sun terrace etc. The commercial and work section presents hotels, offices, shopping malls, business and primary schools.[126]"
AT&T Stadium,"Arlington, Texas",Completed,"$1,300,000,000($1.55 billion in 2019 dollars[43])","A retractable-roof stadium that opened in 2009 as the new home of the Dallas Cowboys. It also hosts other major events, most notably the Big 12 Championship Game and Cotton Bowl Classic in college football.[46]"
Athens Metro,Athens,Under Construction,"$6,480,000,000",Line 2 and Line 3 of Athens Metro were constructed between 1992 and 2000 (Line 1 began operation in 1869).[96] The construction of lines 2 and 3 (including their ongoing extensions) cost €4.30 billion.[97] Line 4 is set to begin construction in 2019 with a budget of  €1.45 billion.[98]
Badagry Deep Sea Port,"Badagry, Lagos State",Under Construction,"$2,300,000,000","Construction started in January 2016, and the project is expected to have a ""soft Launch"" in 2018.[165][166]"
Bagamoyo Port,Bagamoyo,Under Construction,"$10,000,000,000",
Bahrain International Airport Expansion Project,"Muharraq, Muharraq Island",Under Construction,"$1,100,000,000",
Bahrain Light Rail Network,Bahrain,Under Construction,"$2,000,000,000",
Bahria Paradise,Karachi,Under Development,A part of Bahria Town Karachi.,
Bahria Town,Karachi,Under Development,"$1,000,000,000","Bahria Town Karachi is a world-class master planned community near Pakistan largest port city Karachi This city is designed with a neighborhood concept to provide worldclass lifestyle facilities having Sports city, IT City, Entertainment Complex, Five Star Hotels and Residential Area.[135] The city is built on a 70560 acres piece of land located near Karachi."
Bahria Town Karach,Karachi,Completed,"$8,600,000,000","Bahria Town Karachi is a privately-owned gated suburb constructed near Karachi, Pakistan. Developed by the Bahria Town Group, and occupies under 46,000 acres just off the Super Highway northeast of Karachi.
The community will include the Grand Jamia Mosque, which will be the world's third largest, and the Rafi Cricket Stadium, the country's largest, designed by GMW Architect. The community is divided by the 400-foot-wide (120 m), 18-lane, Jinnah Avenue which will be having Skyscrapers alongside. The community will be energy independent with a coal-fired and an LNG-powered electricity generation plant, in partnership with K-Electric.It is also home to a 36-hole United States Golf Association standard golf course.  Hyatt Regency Karachi will be the flagship project of Hyaatt expected to open in 2023.
The community is planned to house house around one million people."
